Symbol,StartTime,EndTime,"Trades Timestamp","Trades Quantity","Trades Price","Trades Exchange","Trades MarketCenter","Trades SubMarketCenter","Trades TRDI","Trades CanceledIndicator","Trades DOTT","Trades ITY","Trades MSN","Trades OMSN",Outcome,Message,Identity,Delay,
NDAQ,"06/15/2011 09:30:00.000","06/15/2011 10:30:00.000","06/15/2011 09:40:02.287",100,23.97,"The NASDAQ Stock Market LLC",Q," ",@F,,F,Q,50295,0,Success,,Cookie,0.0312,
NDAQ,"06/15/2011 09:30:00.000","06/15/2011 10:30:00.000","06/15/2011 09:40:02.590",100,23.96,"The NASDAQ Stock Market LLC",Q," ",@F,,F,Q,50313,0,Success,,Cookie,0.0312,
NDAQ,"06/15/2011 09:30:00.000","06/15/2011 10:30:00.000","06/15/2011 09:40:05.610",100,23.96,"The NASDAQ Stock Market LLC",Q," ",@F,,F,Q,50551,0,Success,,Cookie,0.0312,
NDAQ,"06/15/2011 09:30:00.000","06/15/2011 10:30:00.000","06/15/2011 09:40:07.330",100,23.95,"The NASDAQ Stock Market LLC",Q," ",@F,,F,Q,50676,0,Success,,Cookie,0.0312,
NDAQ,"06/15/2011 09:30:00.000","06/15/2011 10:30:00.000","06/15/2011 09:40:07.337",100,23.94,"The NASDAQ Stock Market LLC",Q," ",@F,,F,Q,50678,0,Success,,Cookie,0.0312,
NDAQ,"06/15/2011 09:30:00.000","06/15/2011 10:30:00.000","06/15/2011 09:40:07.553",100,23.94,"The NASDAQ Stock Market LLC",Q," ",@F,,F,Q,50706,0,Success,,Cookie,0.0312,
NDAQ,"06/15/2011 09:30:00.000","06/15/2011 10:30:00.000","06/15/2011 09:40:10.727",100,23.93,"The NASDAQ Stock Market LLC",Q," ",@F,,F,Q,51217,0,Success,,Cookie,0.0312,
NDAQ,"06/15/2011 09:30:00.000","06/15/2011 10:30:00.000","06/15/2011 09:40:10.727",100,23.93,"The NASDAQ Stock Market LLC",Q," ",@F,,F,Q,51218,0,Success,,Cookie,0.0312,
NDAQ,"06/15/2011 09:30:00.000","06/15/2011 10:30:00.000","06/15/2011 09:40:11.003",400,23.92,"The NASDAQ Stock Market LLC",Q," ",@F,,F,Q,51236,0,Success,,Cookie,0.0312,
NDAQ,"06/15/2011 09:30:00.000","06/15/2011 10:30:00.000","06/15/2011 09:40:25.813",100,23.91,"The NASDAQ Stock Market LLC",Q," ",@F,,F,Q,52624,0,Success,,Cookie,0.0312,
NDAQ,"06/15/2011 09:30:00.000","06/15/2011 10:30:00.000","06/15/2011 09:40:25.813",100,23.91,"The NASDAQ Stock Market LLC",Q," ",@F,,F,Q,52625,0,Success,,Cookie,0.0312,
NDAQ,"06/15/2011 09:30:00.000","06/15/2011 10:30:00.000","06/15/2011 09:40:25.827",100,23.91,"The NASDAQ Stock Market LLC",Q," ",@,,F,Q,52626,0,Success,,Cookie,0.0312,
NDAQ,"06/15/2011 09:30:00.000","06/15/2011 10:30:00.000","06/15/2011 09:40:25.827",100,23.91,"The NASDAQ Stock Market LLC",Q," ",@,,F,Q,52627,0,Success,,Cookie,0.0312,
NDAQ,"06/15/2011 09:30:00.000","06/15/2011 10:30:00.000","06/15/2011 09:40:25.827",100,23.91,"The NASDAQ Stock Market LLC",Q," ",@,,F,Q,52628,0,Success,,Cookie,0.0312,
NDAQ,"06/15/2011 09:30:00.000","06/15/2011 10:30:00.000","06/15/2011 09:40:25.850",100,23.91,"The NASDAQ Stock Market LLC",Q," ",@F,,F,Q,52630,0,Success,,Cookie,0.0312,
NDAQ,"06/15/2011 09:30:00.000","06/15/2011 10:30:00.000","06/15/2011 09:40:29.290",100,23.92,"The NASDAQ Stock Market LLC",Q," ",@,,F,Q,52838,0,Success,,Cookie,0.0312,
